,Casual DateLine,Fonochat,LiveLinks,TangoPersonals,Vibeline,totalrev,gay
2012-11-01,217142.15530671892,344909.1278549998,1396928.0379271754,176842.0284804658,214500.80981976862,2787763.3831529827,447690.336843968
2012-12-01,226277.33761124907,328985.97463616496,1431331.9600985385,178842.08308640862,222607.90834174966,2828510.2545787655,450484.19538459205
2013-01-01,206255.98512241224,321614.6625438993,1356056.930221175,166996.64796988748,203695.0415106719,2688405.251222025,434698.2820916738
2013-02-01,188496.8283449935,309428.8869690795,1328083.1868062753,163181.03953119714,212096.30567873723,2587727.144052997,394400.0641673234
2013-03-01,213498.84058938682,362698.7585902104,1452427.235625127,181412.29289703065,231897.83255498265,2866666.4308818975,442758.133403287
2013-04-01,202173.84531627997,340165.6865309067,1354179.9116364028,166817.50946259318,209477.559501588,2666777.3026031386,410898.96031640144
2013-05-01,199387.32542314878,344441.85845596605,1364167.6258593178,165883.21865615225,202819.30102193495,2671797.057703467,410288.15680150676
2013-06-01,193666.1832978213,328204.5914545522,1299217.3790338458,160431.32607477778,191535.56367164565,2545853.168366556,388439.3711868527
2013-07-01,195500.13134112416,336347.3025284102,1353334.9744215165,164374.3700104219,195904.4431884356,2619991.3112771497,390480.69395301834
2013-08-01,196641.99108695306,328883.03563416854,1333744.4103494054,159846.21476424907,195399.8634178575,2579399.4736404372,382082.70384167036
2013-09-01,180818.55672371527,308769.4908688206,1248122.7389264891,151656.10083177488,183995.5437213874,2413427.970925656,357826.7395428497
2013-10-01,181921.43298420854,314068.53220330353,1266005.1423723374,153017.5853075094,188170.92901546825,2448532.0628175857,362956.2807464008
2013-11-01,178629.68656978745,298683.495998129,1233167.8458854577,148757.49915459144,185005.56316102695,2367612.8679527873,340797.6518412002
2013-12-01,183799.29436244976,286925.6141260812,1261926.6012927943,152995.91398154697,190337.4141911608,2411487.656273958,350146.9796518328
2014-01-01,174106.08354322016,277872.6199016649,1210473.7947855492,143754.15944995935,175625.261229776,2315857.7323164744,339984.48372441216
2014-02-01,164253.21273118354,272604.8141058751,1206476.660006969,144926.84681263947,188492.96927244175,2287914.318481778,321739.6309676418
2014-03-01,181884.43872905578,313643.3869666645,1324588.8350031937,159625.70685594488,201752.68978536615,2525842.8781002704,356325.48419933714
2014-04-01,175733.5198877786,298943.2447306059,1254718.5341416954,149619.5718136115,185169.33879132263,2397719.1090266593,341422.8017905421
2014-05-01,176137.51643384603,305409.24251583026,1278329.0587799565,151138.4629128178,182018.3687592315,2430695.9726840365,344329.1813782233
2014-06-01,167918.1160728982,289970.1899386788,1219727.4999313375,143595.61869105618,172663.95170133046,2315795.4456847226,325617.23236210895
2014-07-01,173701.572076734,301363.8443345415,1284992.0688106995,150425.84113070986,178171.60445954386,2424465.0680091493,338574.7585322025
2014-08-01,175984.8726858958,292050.270790262,1269278.614441829,145391.06926987623,175958.13974592695,2388302.8337433,330609.05056365585
2014-09-01,162819.74276359496,279090.96372704185,1203258.6267948241,138849.54746224024,171760.51106955452,2271901.960484185,315651.04721929674
2014-10-01,166955.93604400166,287913.579216115,1245908.9032783322,142538.5376952661,180096.37463342072,2344286.0260732146,320455.3482974179
2014-11-01,161209.96189234447,271582.0051285459,1199774.4544084927,135492.04371006644,173747.83051437803,2240937.575117296,298286.7078300901
2014-12-01,162546.99121846122,263850.3866067381,1218582.5918223783,139912.96656246288,177919.3883609775,2277903.3535102876,309970.955599107
2015-01-01,158917.78257267788,254249.5784041537,1175994.9454637514,130484.31317117221,166308.11421273954,2196903.6845549396,299734.68838956516
2015-02-01,153730.71014741558,255412.65975823664,1184727.1735391123,134216.65250711804,184574.916815669,2214372.8787581325,292472.38709986553
2015-03-01,165314.6790697876,287960.9256182559,1292834.1698058648,144963.54089134207,192288.24066663245,2408614.28288267,314048.7830284762
2015-04-01,161777.13067673636,278532.46452747873,1230585.5730002834,136905.03133386365,178237.23370715274,2303972.1564760325,305251.03331846435
2015-05-01,164147.61639184583,286511.9369451788,1255486.1759986044,139436.2608414688,176713.86071030612,2339679.01756314,307460.23285402206
2015-06-01,152636.84975368652,269247.98885018623,1188044.7725063073,129187.20770655421,166724.30442720104,2204823.3649197123,286999.8528211017
2015-07-01,160925.36614189637,281892.6593758963,1253428.3478787434,137343.50233482197,171887.02394701898,2323577.0701036314,306028.46495008277
2015-08-01,163882.2905896485,269015.67019043455,1232947.1684793318,131450.35494704815,166392.40865067457,2273334.4220479727,297069.62139820604
2015-09-01,151833.3612612727,260022.97309198958,1176507.3835619856,125919.54250015132,166777.9646135018,2182404.9482238255,287977.01990891824
2015-10-01,157912.5390764492,270154.2317214906,1234832.008680911,130885.79785132676,177284.13355523537,2272126.374285021,292345.1587245653
2015-11-01,149750.82969224433,251441.28130314773,1173137.7509670372,121444.51916970106,166776.03034120586,2139788.3410552116,271218.9478985634
2015-12-01,147460.93038043077,245804.831152365,1180544.21972924,125742.23861185799,168975.10091210195,2163980.636894989,286560.6239938941
2016-01-01,148456.61513492928,234430.29850234278,1144302.1644107357,116099.66600870996,159075.38284042766,2089424.4947837708,278740.0979148219
2016-02-01,146558.78334718832,239789.5369178481,1162782.7014222469,121477.29497504703,181218.68139060578,2140794.4912850237,283072.8753957473
2016-03-01,158454.44295352997,275977.2368094086,1270363.4388366255,131978.56678006906,190414.79919323054,2337286.953612953,310708.96490907145
2016-04-01,150857.24633039715,257163.58565709888,1191729.5051843275,121163.57163764653,172267.1465415967,2186415.437744806,293646.4313221121
2016-05-01,148738.78526292552,260342.95814517626,1205962.5471406295,119440.26451271168,166928.76333116586,2206630.636093177,301313.9834650126
2016-06-01,149930.82859557998,251945.09613724615,1165858.698239287,118522.75881834772,159850.345004358,2146720.7664381084,297174.4870164175
2016-07-01,150532.9372136736,257581.80546360672,1220871.990463306,119748.17969575366,165012.11535294366,2216451.6245750505,300418.1701807944
2016-08-01,151862.24466641914,257034.9846368949,1211937.7463006838,117066.80109808003,169253.0168605283,2210536.320877927,303571.0919730028
2016-09-01,140449.1489739195,239947.83811928515,1130564.275059614,110278.54730884112,156702.54653234317,2062807.399145606,287527.5939307756
2016-10-01,140175.22486505864,243329.97720666666,1133247.7196165044,109205.22309361411,158964.66673809,2084382.6933301822,300274.79811865365
2016-11-01,140788.37327371983,235319.47686698785,1116528.6099616643,107897.42869937932,160893.0271249716,2049306.515853192,290040.0314489206
2016-12-01,148871.92429189818,225436.69420060763,1151408.1315583996,109866.28811779647,167996.37588003313,2102547.1327441023,300410.56046500534
2017-01-01,137822.31433508746,221399.28831781808,1098259.3399327355,103340.80828270866,154712.8907618736,2022028.1655866245,298866.1951305945
2017-02-01,127614.32259476035,214008.96225568696,1083000.8869381319,101413.25205825765,162149.3751307705,1968193.724844599,279744.0930678665
2017-03-01,146301.98745802138,251932.74863988542,1191883.987544078,113193.78929915532,178354.53501304684,2202939.3079855507,323211.28609542566
2017-04-01,140458.75442243472,237429.37563133112,1119178.4963380308,104561.50486806325,162203.0540933456,2073336.4815581066,309889.3405635549
2017-05-01,139827.51848954626,241550.6585093999,1134015.8411615593,103949.54413714424,158096.12482369365,2095512.314802697,317342.85143180506
2017-06-01,137167.04951151457,231309.96247080257,1086655.7968304688,100506.1156662326,150349.6298084734,2015233.030292913,308530.96021832654
2017-07-01,139829.68657891903,238213.31393710026,1138765.7210595165,102948.79001637903,154843.90222830544,2092869.9100594262,318378.2329639093
2017-08-01,141468.22585640862,234015.46067056962,1125065.5502421432,99631.56425155485,155569.3108230847,2072521.1923057253,318433.1195185328
2017-09-01,130859.090331832,220750.80731685786,1055490.3665873916,94061.3956132925,147576.36356116142,1950714.5329487605,304917.8785329002
2017-10-01,132430.13969394198,225595.09555918715,1073258.1671207775,94442.85113585541,152029.24334355505,1990678.0266415451,316106.30726160883
2017-11-01,130423.1713347438,215232.0661826293,1043090.6917014925,91092.69601228707,149983.92284677507,1928160.6546391544,301807.81627383054
2017-12-01,134592.6539207376,207412.64503611805,1065092.1862476957,92960.68035016097,154825.72596038642,1967159.420116622,315184.58975092747
2018-01-01,127888.5642622839,201536.4114754335,1019343.4574979735,86629.17605426892,143362.80735519444,1892436.6993761586,311281.9314335993
2018-02-01,121030.29156007558,198385.68853982483,1013645.7155585219,86603.45388015716,154418.39111531968,1872895.0477270777,299671.92432872974
2018-03-01,134305.53227081968,228319.10867635737,1108548.178860664,94648.35358136817,165055.89283449968,2064886.8244240356,335925.26445251703
2018-04-01,130072.33464803275,217690.86929124044,1045514.426767103,87938.17166211906,151258.07854815273,1957205.1522357243,326238.68082757306
2018-05-01,130676.25763458949,222472.60272999175,1060676.3114752509,88060.21159723378,148462.64601993444,1981217.689303066,333354.1960664838
2018-06-01,124732.63595983142,210788.31858979064,1007587.2616065787,82897.77797255399,140395.99991718255,1884209.5516823865,319529.43034092314
2018-07-01,129185.6919588661,218625.22761847568,1056931.3854439484,86051.27265387707,144435.6454339573,1969204.1621928571,336644.4706775105
2018-07-31,132580.5840153597,202503.65856799617,1013720.0570653569,80821.64464591323,131271.54167321287,1889063.7286085857,330631.19981728675
2018-08-31,122995.40894990198,202882.01716861114,983687.2322856041,78007.52186389358,142631.5856290377,1863669.8460112151,333989.4764038619
2018-09-30,132228.46785980614,214701.86211292303,1067077.992668575,83789.71998643668,156506.48175129676,1984229.8438194296,332997.9760168162
2018-10-31,118056.69487887979,191872.72205125782,968611.8391904626,72244.25584887294,136156.76309427648,1784170.2708631943,300773.5956695061
2018-11-30,108089.80004110144,191086.33209278903,944849.4473829156,75435.89161848987,133505.8871061207,1776966.5883330263,328892.54251714435
2018-12-31,119496.55375029036,176706.00029763873,925939.8254986648,67873.28007932063,128646.15037137693,1723108.7350487595,314255.8738111042
2019-01-31,124294.74247331134,190470.46290744675,960855.8323632693,74865.31677179267,157355.0074104275,1849369.120081246,345462.2118560014
2019-02-28,117512.12194048526,196060.2922518612,1018060.1659411853,74133.5554370769,145912.86970200462,1889695.0803090024,333216.65927099617
2019-03-31,119893.97623719506,199798.84981443096,983966.9464734243,71865.97137203463,140069.54717848604,1862201.205120119,347055.5390234397
2019-04-30,125514.31404693473,208393.5677859874,1002838.6852275654,74751.5426962009,142163.90868100306,1895532.988208968,350022.8578242036
2019-05-31,104577.7599949437,187777.46436412222,913874.0268971106,62171.50894537421,130726.23879888283,1708321.0465568367,313409.645584429
2019-06-30,118729.41324790799,202067.36077313407,966310.2664848239,70014.28104255832,133762.6103637513,1848336.550661463,367283.56933626765
2019-07-31,122093.62431480078,181196.94079076592,931565.1496160061,64077.07967722243,119247.97169945201,1758620.4066395366,345353.1995112687
2019-08-31,113274.83486012755,183800.49882564828,910314.2644939658,61917.04648810183,133332.1588354265,1751673.7801697513,352405.46196816425
2019-09-30,122945.31114518619,195498.3108589888,998185.4538767376,67021.86051046169,147620.42272864384,1877316.828496901,348388.68348020496
2019-10-31,107539.85117160971,172322.52403354837,893140.232561362,56269.83918720286,125197.00887336655,1662392.3107162674,311283.08953091357
2019-11-30,96091.05026522139,172661.60556627897,863361.4496407935,58823.96928561981,121572.95776658802,1648318.9740163623,343755.2026201316
2019-12-31,109855.03445172534,158025.64485449597,850619.6092563339,52349.06996422704,118300.8091440772,1602072.1517693703,326430.95239525393
